2026-04-11 11:54:44.927 | WARNING  | text2sparql_client.commands.ask:ask_command:182 - db26:1-en | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-11 11:54:44.927 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:1-en | Retrying (1/5) after 15 seconds...
2026-04-11 11:58:00.121 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - db26:1-en | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-11 11:58:00.121 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:1-en | Retrying (2/5) after 15 seconds...
2026-04-11 12:01:15.278 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - db26:1-en | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-11 12:01:15.278 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:1-en | Retrying (3/5) after 15 seconds...
2026-04-11 12:04:30.461 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - db26:1-en | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-11 12:04:30.461 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:1-en | Retrying (4/5) after 15 seconds...
2026-04-11 12:07:45.579 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - db26:1-en | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-11 12:07:45.579 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:1-en | Retrying (5/5) after 15 seconds...
2026-04-11 12:11:00.613 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - db26:1-en | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-11 12:11:00.613 | ERROR    | text2sparql_client.commands.ask:_retry_response:44 - db26:1-en | Maximum number of retries reached. Skipping question.
2026-04-11 12:14:00.741 | WARNING  | text2sparql_client.commands.ask:ask_command:182 - db26:1-es | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-11 12:14:00.741 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:1-es | Retrying (1/5) after 15 seconds...
2026-04-11 15:26:57.941 | WARNING  | text2sparql_client.commands.ask:ask_command:182 - db26:11-en | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-11 15:26:57.941 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:11-en | Retrying (1/5) after 15 seconds...
2026-04-11 15:33:32.265 | WARNING  | text2sparql_client.commands.ask:ask_command:182 - db26:14-en | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-11 15:33:32.265 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:14-en | Retrying (1/5) after 15 seconds...
2026-04-11 15:36:47.398 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - db26:14-en | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-11 15:36:47.398 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:14-en | Retrying (2/5) after 15 seconds...
2026-04-11 15:40:02.527 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - db26:14-en | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-11 15:40:02.527 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:14-en | Retrying (3/5) after 15 seconds...
2026-04-11 15:43:17.687 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - db26:14-en | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-11 15:43:17.687 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:14-en | Retrying (4/5) after 15 seconds...
2026-04-11 15:46:32.936 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - db26:14-en | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-11 15:46:32.936 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:14-en | Retrying (5/5) after 15 seconds...
2026-04-11 15:49:48.099 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - db26:14-en | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-11 15:49:48.099 | ERROR    | text2sparql_client.commands.ask:_retry_response:44 - db26:14-en | Maximum number of retries reached. Skipping question.
2026-04-11 15:52:48.231 | WARNING  | text2sparql_client.commands.ask:ask_command:182 - db26:14-es | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-11 15:52:48.231 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:14-es | Retrying (1/5) after 15 seconds...
2026-04-11 15:56:03.361 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - db26:14-es | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-11 15:56:03.362 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:14-es | Retrying (2/5) after 15 seconds...
2026-04-11 15:59:18.520 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - db26:14-es | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-11 15:59:18.520 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:14-es | Retrying (3/5) after 15 seconds...
2026-04-11 16:02:33.583 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - db26:14-es | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-11 16:02:33.584 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:14-es | Retrying (4/5) after 15 seconds...
2026-04-11 16:05:48.737 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - db26:14-es | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-11 16:05:48.737 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:14-es | Retrying (5/5) after 15 seconds...
2026-04-11 16:09:03.867 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - db26:14-es | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-11 16:09:03.868 | ERROR    | text2sparql_client.commands.ask:_retry_response:44 - db26:14-es | Maximum number of retries reached. Skipping question.
2026-04-11 16:12:04.022 | WARNING  | text2sparql_client.commands.ask:ask_command:182 - db26:15-en | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-11 16:12:04.022 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:15-en | Retrying (1/5) after 15 seconds...
2026-04-11 16:15:19.214 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - db26:15-en | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
