2026-04-10 14:41:44.120 | WARNING  | text2sparql_client.commands.ask:ask_command:182 - db26:2-es | HTTPConnectionPool(host='research.liberai.org', port=8000): Read timed out. (read timeout=180)
2026-04-10 14:41:44.121 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:2-es | Retrying (1/5) after 15 seconds...
2026-04-10 14:44:59.173 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - db26:2-es | HTTPConnectionPool(host='research.liberai.org', port=8000): Read timed out. (read timeout=180)
2026-04-10 14:44:59.174 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:2-es | Retrying (2/5) after 15 seconds...
2026-04-10 14:48:14.223 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - db26:2-es | HTTPConnectionPool(host='research.liberai.org', port=8000): Read timed out. (read timeout=180)
2026-04-10 14:48:14.223 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:2-es | Retrying (3/5) after 15 seconds...
2026-04-10 14:51:29.289 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - db26:2-es | HTTPConnectionPool(host='research.liberai.org', port=8000): Read timed out. (read timeout=180)
2026-04-10 14:51:29.289 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:2-es | Retrying (4/5) after 15 seconds...
2026-04-10 14:59:50.090 | WARNING  | text2sparql_client.commands.ask:ask_command:182 - db26:5-en | HTTPConnectionPool(host='research.liberai.org', port=8000): Read timed out. (read timeout=180)
2026-04-10 14:59:50.090 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:5-en | Retrying (1/5) after 15 seconds...
2026-04-10 15:03:05.142 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - db26:5-en | HTTPConnectionPool(host='research.liberai.org', port=8000): Read timed out. (read timeout=180)
2026-04-10 15:03:05.142 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:5-en | Retrying (2/5) after 15 seconds...
2026-04-10 15:06:20.180 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - db26:5-en | HTTPConnectionPool(host='research.liberai.org', port=8000): Read timed out. (read timeout=180)
2026-04-10 15:06:20.180 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:5-en | Retrying (3/5) after 15 seconds...
